EPM,Plant,City,State,file_name,page,stream_class,flow_gpm,dropdown_capacity_mgy,implied_mgy_14pct_beer,implied_mgy_15pct_beer,implied_mgy_16pct_beer,pct_diff_vs_capacity_at_15pct,source_line
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,23,unknown,140.0,65.0,,,,,Separation EU-35 140 gal/min -
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,16,unknown,0.11666666666666667,65.0,,,,,"EU-4.4 Fermenter #4 all 7 gal/hr,"
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,16,unknown,0.05,65.0,,,,,"EU-4.3 Fermenter #3 gal/hr, 300,000"
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,07-TV-001R3.pdf,16,unknown,0.05,65.0,,,,,"EU-4.3 Fermenter #3 gal/hr, gal/hr,"
3671,Poet Biorefinning-Fairbank,Fairbank,IA,15-TV-010R2.pdf,26,beer,2350.0,132.0,172.92239999999998,185.27399999999997,197.6256,40.35909090909089,"EU 46 Beer Column Beer 2,350 gal/min"
3671,Poet Biorefinning-Fairbank,Fairbank,IA,15-TV-010R2.pdf,26,thin_stillage,1650.0,132.0,,,,,"EU 57 Evaporators Thin Stillage 1,650 gal/min"
3671,Poet Biorefinning-Fairbank,Fairbank,IA,15-TV-010R2.pdf,26,unknown,3500.0,132.0,,,,,"EU 21 Cook Tube #1 3,500 gal/min"
3671,Poet Biorefinning-Fairbank,Fairbank,IA,15-TV-010R2.pdf,26,unknown,3500.0,132.0,,,,,"EU 22 Cook Tube #2 Mash 3,500 gal/min"
3671,Poet Biorefinning-Fairbank,Fairbank,IA,15-TV-010R2.pdf,26,unknown,1650.0,132.0,,,,,"EU 48 Side Stripper 1,650 gal/min"
3671,Poet Biorefinning-Fairbank,Fairbank,IA,15-TV-010R2.pdf,26,unknown,1025.0,132.0,,,,,"EU 33 Molecular Sieve Vaporizer 1,025 gal/min"
3671,Poet Biorefinning-Fairbank,Fairbank,IA,15-TV-010R2.pdf,26,unknown,1025.0,132.0,,,,,"1,025 gal/min"
3671,Poet Biorefinning-Fairbank,Fairbank,IA,15-TV-010R2.pdf,26,unknown,1025.0,132.0,,,,,"EU 41 200 Proof Flash Vessel 1,025 gal/min"
