EPM,Plant,City,capacity_mgy,dryer_type,dryer_type_from_technology_flags,fiber_to_ethanol_technology,fiber_to_ethanol_source,operating_permit_source,dryer_mmbtu_hr,boiler_mmbtu_hr,rto_thermal_oxidizer_mmbtu_hr,waste_heat_boiler_mmbtu_hr,total_thermal_mmbtu_hr,total_thermal_mmbtu_hr_per_mgy,estimated_btu_per_gal_from_heat_input,white_fox_membrane,molecular_sieve_only,chp,waste_heat_recovery,fiber_to_ethanol,d3_capable,generic_fiber_separation,high_protein,corn_oil_extraction,edeniq,fluid_quip,icm_selective_milling,icm_fst,co2_capture,rng_biogas,program,pathway_class,ci,feedstock,coproduct_type,source_date,source_detail
3671,Poet Biorefinning-Fairbank,Fairbank,132.0,DDGS Dryer,Rotary Dryer,Proprietary,tech_flags.fiber_technology,15-TV-010R2.pdf,,,,,,,,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,65.36,Corn (009),WDGS,2026-05-19,
3671,Poet Biorefinning-Fairbank,Fairbank,132.0,DDGS Dryer,Rotary Dryer,Proprietary,tech_flags.fiber_technology,15-TV-010R2.pdf,,,,,,,,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CFA,corn starch,39.0,Corn,,06-12-2023,TEMPORARY
3675,Poet Biorefinning-Gowrie LLC,Gowrie,90.0,Ring Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,Plant Name POET Biorefining – Gowri.txt,,,,,,,,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,24.96,Corn Fiber (012),DDGS + WDGS + MDGS,2026-05-19,
3675,Poet Biorefinning-Gowrie LLC,Gowrie,90.0,Ring Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,Plant Name POET Biorefining – Gowri.txt,,,,,,,,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,64.56,Corn (009),MDGS,2026-05-19,
3677,Poet Biorefinning-Hanlontown LLC,Hanlontown,80.0,Ring Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,21-TV-001R1.pdf,,,,,,,,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,27.88,Corn Fiber (012),DDGS + WDGS,2026-05-19,
3677,Poet Biorefinning-Hanlontown LLC,Hanlontown,80.0,Ring Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,21-TV-001R1.pdf,,,,,,,,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,67.07,Corn (009),WDGS,2026-05-19,
3679,Poet Biorefinning-Iowa Falls LLC,Iowa Falls,112.0,DDGS Dryer,Rotary Dryer,Proprietary,tech_flags.fiber_technology,19-TV-005R1.pdf,,147.4,,147.4,147.4,1.3160714285714286,11528.785714285714,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,25.25,Corn Fiber (012),,2026-05-19,
3679,Poet Biorefinning-Iowa Falls LLC,Iowa Falls,112.0,DDGS Dryer,Rotary Dryer,Proprietary,tech_flags.fiber_technology,19-TV-005R1.pdf,,147.4,,147.4,147.4,1.3160714285714286,11528.785714285714,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,65.49,Corn (009),MDGS,2026-05-19,
3680,Poet Biorefinning-Jewell LLC,Jewell,90.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,18-TV-004-M001.pdf,,,,,,,,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,27.18,Corn Fiber (012),DDGS + WDGS,2026-05-19,
3680,Poet Biorefinning-Jewell LLC,Jewell,90.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,18-TV-004-M001.pdf,,,,,,,,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,67.19,Corn (009),WDGS,2026-05-19,
3680,Poet Biorefinning-Jewell LLC,Jewell,90.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,18-TV-004-M001.pdf,,,,,,,,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,OR,fiber/cellulosic,26.03,Fiber,,2025-07-10,
3680,Poet Biorefinning-Jewell LLC,Jewell,90.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,18-TV-004-M001.pdf,,,,,,,,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,OR,corn starch,54.34,Corn,WDGS,2025-07-10,
3680,Poet Biorefinning-Jewell LLC,Jewell,90.0,DDGS Dryer,Ring Dryer,BPX,tech_flags.fiber_technology,18-TV-004-M001.pdf,,,,,,,,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,WA,fiber/cellulosic,27.27,fiber/cellulosic,,Q1 2026,"POET Biorefining - Jewell (4786: 70014); Midwest Corn, Dry Mill, Corn Kernel Fiber Ethanol, Corn Oil and Syrup using natural gas and grid electricity; Corn starch and Fiber ethanol produced in JEWELL, IA using BPX conversion method; Ethanol transported by rail to Washington"
3686,Poet Biorefinning-Menlo,Menlo,132.0,DDGS Dryer,Rotary Dryer,Proprietary,tech_flags.fiber_technology,15-TV-006R1.pdf,,,,,,,,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,fiber/cellulosic,26.6,Corn Fiber (012),,2026-05-19,
3686,Poet Biorefinning-Menlo,Menlo,132.0,DDGS Dryer,Rotary Dryer,Proprietary,tech_flags.fiber_technology,15-TV-006R1.pdf,,,,,,,,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,CA,corn starch,66.31,Corn (009),WDGS,2026-05-19,
3692,Poet Biorefinning-Shell Rock LLC,Shell Rock,128.0,DDGS Dryer,Rotary Dryer,Proprietary,tech_flags.fiber_technology,15-TV-003R1.pdf,,,,,,,,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False,CA,fiber/cellulosic,28.31,Corn Fiber (012),,2026-05-19,
3692,Poet Biorefinning-Shell Rock LLC,Shell Rock,128.0,DDGS Dryer,Rotary Dryer,Proprietary,tech_flags.fiber_technology,15-TV-003R1.pdf,,,,,,,,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False,CA,corn starch,69.03,Corn (009),WDGS,2026-05-19,
