epm,status,ca_facility_id,frs_id,ownership,plant_name,state,city,latitude,longitude,rail_lines,ethanol_capacity_mgy,dryer_types,technology,special_tech,wind_turbine,waste_heat,high_pro,chp,white_fox,icm_p10,reg_pathway,year_build,co2_pipeline_direct,co2_pipeline_3rd_party,co2_sponsor,d6_non_cellulosic,d3_cellulosic,facility_id_key,frs_id_key,epa_facility_name,epa_subparts,epa_sectors,epa_total_direct_emissions_mtco2e,epa_co2_non_biogenic_mt,epa_ch4_mtco2e,epa_n2o_mtco2e,epa_biogenic_co2_mt,epa_stationary_combustion_mtco2e,epa_electricity_generation_mtco2e,epa_co2_collected_onsite_flag,epa_co2_transferred_offsite_flag,epa_cem_flag
3634,Active,,,ICM,ICM Biofuels LLC,MO ,St Joseph,39.74025,-94.8468,BNSF,50.0,Rotary Dryer,ICM,,,,,,,,,,,,,D6,-,,,,,,,,,,,,,,,
3635,Active,,110029312349.0,Harvestone,Iroquois Bio-Energy Co LLC,IN ,Rensselaer,40.933056,-87.067222,CSX,65.0,Rotary Dryer,ICM,,,,,,,,EP3,2006.0,Direct,,Direct Inject,-,-,,110029312349,Iroquois Bio Energy Company,"C,II","Other,Waste",80935.446,80792.4,97.75,45.296,,80875.696,,N,N,N
3640,Active,,110025317235.0,"Lincolnland Agri Energy, LLC",Lincolnland Agri-Energy LLC,IL ,Palestine,39.004293,-87.631325,CSX,68.0,Rotary Dryer,ICM,,,,ICM HI PRO,CHP,White Fox,,,2004.0,,,,D6,-,,110025317235,LINCOLNLAND AGRI-ENERGY LLC,C,Other,65216.504,65149.1,30.75,36.654,,65216.504,,N,N,N
3644,Active,,110071219957.0,Marquis Energy,Marquis Energy LLC,IL ,Hennepin,41.276711,-89.319504,NS,400.0,Steam Tube Dryer,ICM,,,,Marquis HI PRO,,,,EP3,2007.0,Direct,,Direct Inject,D6,D3,,110071219957,Marquis Energy - Illinois LLC,C,Other,505123.648,504602.5,237.75,283.398,,505123.648,,N,N,N
3645,Active,70269,110038364221.0,United Cooperative,United Energy Necadah,WI ,Necedah,43.99187,-90.07219,CN,106.0,Rotary Dryer,ICM,,,,,,,,EP3,0.0,,,,D6,-,70269,110038364221,"Marquis Energy - Wisconsin, LLC",C,Other,136084.388,135944.1,64.0,76.288,,136084.388,,N,N,N
3646,Active,,110070028928.0,DCP Midstream,Marysville Ethanol LLC,MI ,Marysville,42.88335,-82.491547,CSX/CN,60.0,Rotary Dryer,ICM,,,,,,,,,2007.0,,,,D6,-,,110070028928,MARYSVILLE ETHANOL LLC,C,Other,83938.532,83851.4,39.75,47.382,,83938.532,,N,N,N
3647,Active,,,MGP,MGP,IN ,Lawrenceburg,39.098994032848,-84.8610889416364,CSX,,,Wet Mill,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
3653,Active,,110039176030.0,Rex American,One Earth Energy LLC,IL ,Gibson City,40.471085,-88.39574,NS/CN,150.0,Rotary Dryer,ICM,,,,,,,,EP3,2007.0,Direct,,,D6,-,,110039176030,ONE EARTH ENERGY LLC,C,Other,184415.256,184225.1,86.75,103.406,,184415.256,,N,N,N
3655,Active,,,Parallel Products,Parallel Products Inc,KY ,Louisville,38.2175523882665,-85.7859630221699,UnKnown,5.5,,Waste Stream,,,,,,,,,0.0,,,,D6,-,,,,,,,,,,,,,,,
3656,Active,,110070090716.0,Innergex Renewable Energy Inc.,Innergex Renewable Energy Inc.,CA ,Stockton,37.9413,-121.3385,BNSF,60.0,Ring Dryer,Delta-T,,,,,,White Fox,,,2008.0,,,,-,-,,110070090716,"Pelican Renewables, LLC","C,PP","Other,Suppliers of CO2",0.0,0.0,,,,0.0,,N,N,N
3657,Active,,110060012409.0,Pennsylvania Grain Processing,Pennsylvania Grain Processing LLC,PA ,Clearfield,41.03082,-78.4298,CN/NS,128.0,Rotary Dryer,ICM,,,,,,,,,2010.0,,,,D6,D3,,110060012409,"Pennsylvania Grain Processing, LLC",C,Other,164959.128,164788.7,77.75,92.678,,164959.128,,N,N,N
3658,Active,,,Arizona Grain,Pinal,AZ ,Maricopa,33.01552,-111.9826,UP,,Ring Dryer,Delta-T,,,,,CHP,,,,2007.0,,,,-,-,,,,,,,,,,,,,,,
3659,Active,,110045331093.0,Innovative Ag Services,Pine Lake Corn Processors,IA ,Steamboat Rock,42.457778,-93.055833,CN,87.12,Ring Dryer,Delta-T,,,Waste Heat Boiler,,,White Fox ICE,,EP3,2002.0,,,,D6,D3,,110045331093,PINE LAKE CORN PROCESSORS,C,Other,124046.332,123918.1,58.5,69.732,,124046.332,,N,N,N
3693,Active,,,POET Biorefining,Poet Research Center,SD ,Scottland,43.1468,-97.7264,BNSF,12.0,Ring Dryer,Poet,,,,,,,,,1988.0,,,,,,,,,,,,,,,,,,,,
3696,Active,,110038439687.0,Quad County Corn Processors ,Quad County Corn Processors Coop,IA ,Galva,42.47684,-95.41516,,38.0,Ring Dryer,Delta-T,,,,,,,,EP3,2002.0,,SCS,Summit Carbon Solutions,D6,D3,,110038439687,BIG RIVER RESOURCES GALVA LLC,C,Other,171304.904,171127.9,80.75,96.254,,171304.904,,N,N,N
3698,Active,,110012173263.0,Red River Energy,Red River Energy LLC,SD ,Rosholt,45.872608,-96.725109,CP,36.0,Rotary Dryer,ICM,,,,,,,,,2005.0,,,,D6,-,,110012173263,Red River Energy,C,Other,44449.532,44403.5,21.0,25.032,,44449.532,,N,N,N
3699,Active,,110027922602.0,Red Trail Energy,Red Trail Energy LLC,ND ,Richardton,46.878642,-102.296038,BNSF,70.0,Rotary Dryer,ICM,,,,,,,,EP3,2006.0,Direct,,Direct Inject,D6,D3,,110027922602,"RED TRAIL ENERGY, LLC","C,PP,RR (RPT)","Injection of CO2,Other,Suppliers of CO2",86232.276,86143.5,40.5,48.276,,86232.276,,N,N,N
3701,Active,,110071062688.0,Reeve Agri–Energy,Reeve Agri Energy Inc,KS ,Garden City,37.881418,-100.885662,,20.0,,Katzen,,,,,,,,,1982.0,,,,,,,110071062688,"BONANZA BIOENERGY, LLC","C,PP","Other,Suppliers of CO2",56157.288,56099.2,26.5,31.588,,56157.288,,N,N,N
3703,Active,,,Seaboard,Seaboard,CA ,Madera,36.922085,-119.974893,BNSF,40.0,Ring Dryer,Delta-T,,,,,,,,,2006.0,,,,-,-,,,,,,,,,,,,,,,
3704,Active,,110037500362.0,Show Me Ethanol,Show Me Ethanol,MO ,Carrollton,39.364417,-93.449361,BNSF,65.5,Rotary Dryer,ICM,,,,,,,,EP3,2008.0,,,,D6,D3,,110037500362,SHOW ME ETHANOL,C,Other,109314.288,109201.4,51.5,61.388,,109314.288,,N,N,N
3707,Active,,110000399970.0,Verbio,Southbend Ethanol LLC,IN ,South Bend,41.6552,-86.2962,CN,100.0,Rotary Dryer,ICM,,,,,,,,,2015.0,,,,-,-,,110000399970,"South Bend Ethanol, LLC.","C,PP","Other,Suppliers of CO2",125745.576,125615.7,59.25,70.626,,125745.576,,N,N,N
3710,Active,,,Tate & Lyle,Tate & Lyle,TN ,Loudon,35.7347562702955,-84.3199618667687,NS,110.0,,Wet Mill,,,,,CHP,,,,0.0,,,,D6,-,,,,,,,,,,,,,,,
3711,Active,,110038887915.0,Tharaldson Ethanol,Tharaldson Ethanol,ND ,Casselton,46.90361,-97.26349,BNSF,165.0,,Vogelbusch,,,,FQPT HI PRO,,,,EP3,2007.0,,SCS,Summit Carbon Solutions,D6,D3,,110038887915,THARALDSON ETHANOL PLANT I LLC,C,Other,251712.752,251453.0,118.5,141.252,,251712.752,,N,N,N
3712,Active,,110001843694.0,The Andersons,The Andersons Marathon Holdings LLC,MI ,Albion,42.259646,-84.789726,NS,147.0,Rotary Dryer,ICM,,,,,CHP,,,EP3,2006.0,,,,D6,D3,,110001843694,THE ANDERSONS MARATHON HOLDINGS LLC,"C,PP","Other,Suppliers of CO2",206858.072,206644.9,97.25,115.922,,206858.072,,N,N,N
3713,Active,,110030736693.0,The Andersons,The Andersons Marathon Holdings LLC,IN ,Clymers,40.719022,-86.435982,NS,140.0,Rotary Dryer,ICM,,,,,,,,EP3,2007.0,,,,,,,110030736693,THE ANDERSONS MARATHON HOLDINGS LLC,C,Other,191801.328,191603.5,90.25,107.578,,191801.328,,N,N,N
3715,Active,,110037615694.0,The Andersons,The Andersons Marathon Holdings LLC,OH ,Greenville,40.081111,-84.591667,CSX,154.0,Rotary Dryer,ICM,,,,,,,,EP3,2008.0,,,,D6,D3,,110037615694,THE ANDERSONS MARATHON HOLDINGS LLC,"C,PP","Other,Suppliers of CO2",197846.056,197642.2,93.0,110.856,,197846.056,,N,N,N
3716,Active,,110032825361.0,Plymouth Energy Llc ,Three Rivers Energy,OH ,Coshocton,40.2154,-81.86021,NS,50.0,Ring Dryer,Delta-T,,,,,,,,,2007.0,,,,D6,-,,110032825361,Three Rivers Energy LLC,C,Other,67135.248,67066.2,31.5,37.548,,67135.248,,N,N,N
3719,Active,,110023153969.0,United Cooperative,United Energy Milton,WI ,Milton,42.75991,-88.91711,WSOR/BNSF/CN/CP/UP,61.0,Ring Dryer,Delta-T,,,,,,White Fox ICE,,,2006.0,,,,D6,-,,110023153969,"UNITED ETHANOL, LLC",C,Other,96346.488,96247.3,45.25,53.938,,96346.488,,N,N,N
